STN,YEAR,MON,DAY,HR,O3(PPB)
ARH,2015,1,15,20,12.3
ARH,2015,1,15,21,12.45
ARH,2015,1,15,22,12.35
ARH,2015,1,15,23,12.15
ARH,2015,1,16,0,12.15
ARH,2015,1,16,1,11.96
ARH,2015,1,16,2,11.84
ARH,2015,1,16,3,11.56
ARH,2015,1,16,4,11
ARH,2015,1,16,5,10.72
ARH,2015,1,16,6,11.09
ARH,2015,1,16,7,11.07
ARH,2015,1,16,8,11.19
ARH,2015,1,16,9,11.23
ARH,2015,1,16,10,11.16
ARH,2015,1,16,11,11.08
ARH,2015,1,16,12,11.33
ARH,2015,1,16,13,12.79
ARH,2015,1,16,14,12.62
ARH,2015,1,16,15,11.52
ARH,2015,1,16,16,11.16
ARH,2015,1,16,17,11.37
ARH,2015,1,16,18,11.7
ARH,2015,1,16,19,11.65
ARH,2015,1,16,20,11.71
ARH,2015,1,16,21,11.11
ARH,2015,1,16,22,10.93
ARH,2015,1,16,23,11.12
ARH,2015,1,17,0,11.32
ARH,2015,1,17,1,11.64
ARH,2015,1,17,2,11.82
ARH,2015,1,17,3,12.21
ARH,2015,1,17,4,12.3
ARH,2015,1,17,5,12.87
ARH,2015,1,17,6,12.99
ARH,2015,1,17,7,12.59
ARH,2015,1,17,8,12.48
ARH,2015,1,17,9,13.57
ARH,2015,1,17,10,13.74
ARH,2015,1,17,11,13.6
ARH,2015,1,17,12,13.17
ARH,2015,1,17,13,13.76
ARH,2015,1,17,14,13.75
ARH,2015,1,17,15,14.75
ARH,2015,1,17,16,15.16
ARH,2015,1,17,17,15.07
ARH,2015,1,17,18,14.84
ARH,2015,1,17,19,14.25
ARH,2015,1,17,20,13.22
ARH,2015,1,17,21,13.22
ARH,2015,1,17,22,13.88
ARH,2015,1,17,23,15.08
ARH,2015,1,18,0,15.25
ARH,2015,1,18,1,15.81
ARH,2015,1,18,2,15.6
ARH,2015,1,18,3,12.96
ARH,2015,1,18,4,13.85
ARH,2015,1,18,5,14.15
ARH,2015,1,18,6,14.78
ARH,2015,1,18,7,14.83
ARH,2015,1,18,8,14.23
ARH,2015,1,18,9,12.97
ARH,2015,1,18,10,13.89
